WAVE,DAY,MONTH,YEAR,TIME,TELESCOPE,FREQ,FLUX,ERROR,PI
1mm,6,Jan,2010,15:10,SMA,224.78,8.04,0.403,awehrle
1mm,7,Jan,2010,18:26,SMA,225.52,8.425,0.427,mgurwell
1mm,8,Jan,2010,20:13,SMA,225.52,8.497,0.438,mgurwell
1mm,12,Jan,2010,17:59,SMA,225.47,8.333,0.418,mgurwell
1mm,14,Jan,2010,15:20,SMA,262.53,7.258,0.753,mgurwell
1mm,30,Jan,2010,13:54,SMA,225.03,8.721,0.437,awehrle
1mm,4,Feb,2010,14:13,SMA,224.8,8.659,0.435,awehrle
1mm,5,Feb,2010,13:42,SMA,225.52,8.837,0.444,mgurwell
1mm,5,Feb,2010,18:07,SMA,225.52,9.394,0.473,mgurwell
1mm,6,Feb,2010,16:21,SMA,225.6,8.751,0.44,mgurwell
1mm,14,Feb,2010,14:41,SMA,224.61,8.732,0.438,awehrle
1mm,20,Feb,2010,15:27,SMA,230.57,9.868,0.494,awehrle
1mm,8,Mar,2010,09:43,SMA,225.52,10.123,0.514,awehrle
1mm,9,Mar,2010,09:41,SMA,225.46,10.347,0.626,awehrle
1mm,16,Mar,2010,14:28,SMA,225.5,10.008,0.505,mgurwell
1mm,18,Mar,2010,11:37,SMA,224.75,10.555,0.531,awehrle
1mm,19,Mar,2010,11:35,SMA,224.77,10.899,0.548,awehrle
1mm,25,Mar,2010,10:28,SMA,224.78,10.465,0.524,mgurwell
1mm,26,Mar,2010,11:05,SMA,224.75,10.413,0.522,awehrle
1mm,27,Mar,2010,11:11,SMA,224.99,9.968,0.499,mgurwell
1mm,31,Mar,2010,07:33,SMA,224.78,9.693,0.508,awehrle
1mm,2,Apr,2010,13:15,SMA,224.82,9.47,0.476,mgurwell
1mm,3,Apr,2010,10:09,SMA,224.85,9.753,0.49,mgurwell
1mm,4,Apr,2010,10:07,SMA,224.85,9.983,0.501,mgurwell
1mm,11,Apr,2010,10:40,SMA,224.54,10.37,0.521,mgurwell
1mm,12,Apr,2010,05:53,SMA,225.74,10.502,0.527,mgurwell
1mm,26,Apr,2010,06:26,SMA,222.67,10.247,0.513,awehrle
1mm,26,Apr,2010,07:15,SMA,222.67,10.118,0.508,awehrle
1mm,3,May,2010,06:39,SMA,225.11,9.217,0.469,awehrle
1mm,15,May,2010,05:07,SMA,215.14,9.161,0.458,mgurwell
1mm,15,May,2010,06:25,SMA,215.14,8.746,0.437,mgurwell
1mm,17,May,2010,07:32,SMA,225.27,8.856,0.443,mgurwell
1mm,19,May,2010,04:01,SMA,275.06,7.88,0.395,mgurwell
1mm,27,May,2010,09:23,SMA,225.56,8.722,0.437,mgurwell
1mm,5,Jun,2010,05:56,SMA,224.84,8.506,0.426,awehrle
1mm,5,Jun,2010,06:07,SMA,224.84,8.428,0.422,awehrle
1mm,7,Jun,2010,06:03,SMA,226.02,8.792,0.443,mgurwell
1mm,8,Jun,2010,03:58,SMA,225.18,8.739,0.474,awehrle
1mm,15,Jun,2010,05:13,SMA,224.75,8.955,0.501,awehrle
1mm,18,Jun,2010,04:04,SMA,224.83,9.78,0.49,mgurwell
1mm,19,Jun,2010,04:24,SMA,226.3,9.254,0.464,awehrle
1mm,22,Jun,2010,09:21,SMA,227.43,9.382,0.47,mgurwell
1mm,26,Jun,2010,04:31,SMA,221.95,9.392,0.523,awehrle
1mm,29,Jul,2010,05:20,SMA,224.82,8.304,0.418,awehrle
1mm,12,Aug,2010,04:04,SMA,218.79,8.573,0.453,awehrle
1mm,17,Aug,2010,04:33,SMA,224.94,8.401,0.426,awehrle
1mm,25,Aug,2010,04:15,SMA,224.82,8.343,0.425,awehrle
1mm,5,Nov,2010,18:19,SMA,214.11,13.622,0.684,mgurwell
1mm,17,Nov,2010,16:17,SMA,225.5,13.371,0.669,mgurwell
1mm,22,Nov,2010,16:23,SMA,225.49,12.333,0.617,mgurwell
1mm,23,Nov,2010,16:27,SMA,225.49,12.901,0.645,mgurwell
1mm,24,Nov,2010,17:30,SMA,224.76,12.597,0.932,mgurwell
1mm,29,Nov,2010,16:40,SMA,224.84,12.527,0.627,mgurwell
1mm,30,Nov,2010,16:12,SMA,225.24,12.641,0.637,mgurwell
1mm,14,Dec,2010,17:07,SMA,225.48,11.882,0.604,mgurwell
1mm,14,Dec,2010,17:58,SMA,225.48,11.916,0.598,mgurwell
1mm,14,Dec,2010,18:23,SMA,225.48,11.397,0.574,mgurwell
1mm,14,Dec,2010,19:22,SMA,225.48,11.322,0.568,mgurwell
1mm,27,Dec,2010,14:53,SMA,225.48,12.295,1.025,mgurwell
1mm,30,Dec,2010,12:54,SMA,225.48,13.908,0.699,mgurwell
1mm,30,Dec,2010,14:57,SMA,225.48,13.584,0.684,mgurwell
1mm,30,Dec,2010,17:37,SMA,225.48,13.161,0.663,mgurwell
1mm,1,Jan,2011,14:59,SMA,225.23,13.503,0.675,mgurwell
1mm,5,Jan,2011,15:11,SMA,225.51,13.457,0.679,mgurwell
1mm,7,Jan,2011,15:30,SMA,224.93,13.35,0.668,mgurwell
1mm,10,Jan,2011,17:49,SMA,221.4,12.078,0.943,mgurwell
1mm,18,Jan,2011,17:11,SMA,225.53,11.29,0.572,mgurwell
1mm,25,Jan,2011,18:54,SMA,225.52,10.712,0.919,mgurwell
1mm,27,Jan,2011,11:37,SMA,225.49,11.273,0.565,mgurwell
1mm,27,Jan,2011,16:06,SMA,225.49,11.417,0.571,mgurwell
1mm,2,Feb,2011,13:00,SMA,225.13,11.422,0.571,mgurwell
1mm,2,Feb,2011,14:12,SMA,225.13,11.541,0.578,mgurwell
1mm,2,Feb,2011,15:37,SMA,225.13,11.066,0.554,mgurwell
1mm,8,Feb,2011,13:16,SMA,224.81,11.272,0.564,mgurwell
1mm,16,Feb,2011,10:03,SMA,224.81,11.508,0.58,mgurwell
1mm,16,Feb,2011,13:08,SMA,273.8,10.764,0.542,mgurwell
1mm,17,Feb,2011,12:55,SMA,226.36,11.612,0.581,mgurwell
1mm,18,Feb,2011,12:25,SMA,222.68,11.736,0.587,mgurwell
1mm,19,Feb,2011,13:11,SMA,222.01,11.591,0.581,mgurwell
1mm,23,Feb,2011,11:40,SMA,225.47,11.739,0.589,mgurwell
1mm,23,Feb,2011,12:34,SMA,225.47,12.227,0.656,mgurwell
1mm,1,Mar,2011,13:08,SMA,223.4,12.755,0.639,mgurwell
1mm,2,Mar,2011,12:51,SMA,223.98,12.618,0.632,mgurwell
1mm,3,Mar,2011,12:19,SMA,223.98,12.516,0.636,mgurwell
1mm,6,Mar,2011,11:51,SMA,224.84,12.871,0.646,mgurwell
1mm,11,Mar,2011,09:22,SMA,255.59,12.243,0.613,mgurwell
1mm,11,Mar,2011,10:56,SMA,223.97,12.273,0.618,mgurwell
1mm,19,Mar,2011,11:23,SMA,224.83,12.46,0.624,mgurwell
1mm,29,Mar,2011,14:07,SMA,224.85,12.901,0.647,mgurwell
1mm,2,Apr,2011,13:48,SMA,224.85,12.815,0.654,mgurwell
1mm,16,Apr,2011,06:59,SMA,225.52,13.439,0.672,mgurwell
1mm,29,Apr,2011,07:45,SMA,224.88,13.605,0.681,mgurwell
1mm,30,Apr,2011,08:04,SMA,225.27,14.28,0.715,mgurwell
1mm,1,May,2011,05:11,SMA,208.46,15.981,0.8,mgurwell
1mm,16,May,2011,07:46,SMA,225.1,14.538,0.728,mgurwell
1mm,17,May,2011,06:36,SMA,225.51,13.718,0.686,mgurwell
1mm,18,May,2011,04:51,SMA,283.71,12.334,1.603,mgurwell
1mm,20,May,2011,08:37,SMA,224.86,12.86,0.644,mgurwell
